adam;adam;cass;
advision;advision;cart;
beena;beena;cart;
apfm1000;apfm1000;cart;
apple2;apple2ee;flop1;
apple2gs;apple2gs;flop3;
arcadia;arcadia;cart;
archimedes;aa4401;flop;
astrocade;astrocde;cart;
atom;atom;flop1;'\n*DOS\n*DIR\n*CAT\n*RUN"'
bbcmicro;bbcb;flop1;
pcw;pcw8256;flop;
bk;bk001001;cass;'LOAD\n'
camplynx;lynx48k;cass;'mload""'
loopy;casloopy;cart;
cdi;cdimono1;cdrm;
cgenie;cgenie;cass;'\n\nCLOAD\n'
coco;coco3;cart;
dragon64;dragon64;cart;
mc10;mc10;cass;'CLOAD\n'
crvision;crvision;cart;
ctvboy;ctvboy;cart;
electron;electron64;cass;'*T.\nCH.""\n'
enterprise;ep128;flop;
tvc;tvc64p;cass;'LOAD\n'
fm7;fm7;flop1;
fmtowns;fmtmarty;cdrm;
gamate;gamate;cart;
gameandwatch;;;
gamecom;gamecom;cart1;
gamepock;gamepock;cart;
gmaster;gmaster;cart;
gp32;gp32;memc;
laser310;laser310;dump;
lcdgames;;;
macintosh;maclc3;flop1;
megaduck;megaduck;cart;
mz2000;mz2000;cass;'L\n'
mz2500;mz2500;flop1;
mz700;mz700;cass;'L\n'
mz800;mz800;cass;'L\n'
mz80k;mz80k;cass;'L\n'
oricatmos;orica;cass;'\nCLOAD\"\"\n'
pc60;pc6001;cart1;
pdp1;pdp1;ptap1;
pv1000;pv1000;cart;
pv2000;pv2000;cart;
pc80;pc8001mk2sr;flop1;
rx78;rx78;cart;
samcoupe;samcoupe;flop1;
sc3000;sc3000;cart;
segaai;segaai;card;
socrates;socrates;cart;
sv8000;sv8000;cart;
supracan;supracan;cart;
ti99;ti99_4a;cart;
trs80;trs80m3;quik;
tutor;tutor;cart;
tvgames;;;
uzebox;uzebox;cart;
vc4000;vc4000;cart;
vectrex;vectrex;cart;
vgmplay;vgmplay;quik;
vis;vis;cdrm;
vsmile;vsmile;cart;
xegs;xegs;cart;
